#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2012-09-22 00:19:06
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra120921.ibl 143288 USER-2E87126D0E 830030000 2012-09-21 03:17:27 110.88.124.241 112.121.167.174 80 GET HTTP/1.1 500 0 671 208 176 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 242667 USER-2E87126D0E 830030000 2012-09-21 05:03:48 203.208.60.81 112.121.167.174 80 GET HTTP/1.1 404 0 156 1468 268 2 /robots.txt - -
d:\iislog\W3SVC\ra120921.ibl 242670 USER-2E87126D0E 830030000 2012-09-21 05:03:48 203.208.60.81 112.121.167.174 80 GET HTTP/1.1 500 0 328 208 232 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 430447 USER-2E87126D0E 830030000 2012-09-21 08:28:15 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 500 0 296 208 214 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 430508 USER-2E87126D0E 830030000 2012-09-21 08:28:19 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 181 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 430626 USER-2E87126D0E 830030000 2012-09-21 08:28:28 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 340 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 430702 USER-2E87126D0E 830030000 2012-09-21 08:28:34 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 500 0 156 208 214 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 431467 USER-2E87126D0E 830030000 2012-09-21 08:29:21 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 340 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 431522 USER-2E87126D0E 830030000 2012-09-21 08:29:26 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 181 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 487528 USER-2E87126D0E 830030000 2012-09-21 09:34:47 203.208.60.81 112.121.167.174 80 GET HTTP/1.1 500 0 531 208 232 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 497765 USER-2E87126D0E 830030000 2012-09-21 09:48:11 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 336 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 497771 USER-2E87126D0E 830030000 2012-09-21 09:48:11 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 404 0 31 0 242 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 497876 USER-2E87126D0E 830030000 2012-09-21 09:48:19 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 340 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 497878 USER-2E87126D0E 830030000 2012-09-21 09:48:19 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 404 0 62 0 246 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 497938 USER-2E87126D0E 830030000 2012-09-21 09:48:22 114.226.27.15 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 181 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 610325 USER-2E87126D0E 830030000 2012-09-21 12:10:20 220.181.127.19 112.121.167.174 80 GET HTTP/1.1 500 0 250 208 183 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 676010 USER-2E87126D0E 830030000 2012-09-21 13:32:38 203.208.60.81 112.121.167.174 80 GET HTTP/1.1 500 0 156 208 232 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 682388 USER-2E87126D0E 830030000 2012-09-21 13:40:16 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 371 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 682422 USER-2E87126D0E 830030000 2012-09-21 13:40:20 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 46 0 236 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 684226 USER-2E87126D0E 830030000 2012-09-21 13:43:29 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 214 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 684232 USER-2E87126D0E 830030000 2012-09-21 13:43:29 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 214 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 684250 USER-2E87126D0E 830030000 2012-09-21 13:43:30 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 214 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 684253 USER-2E87126D0E 830030000 2012-09-21 13:43:31 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 214 0 /index.php - -
